"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1434",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"1435",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1436",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1437",28,12,53,18,NA,NA,NA,NA,NA,NA,NA
"1438",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1439",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1440",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1441",16,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1442",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1443",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1444",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"1445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1446",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1447",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448",16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1449",28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1450",10749,18,36,NA,NA,NA,NA,NA,NA,NA,NA
"1451",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1452",10751,28,16,12,14,NA,NA,NA,NA,NA,NA
"1453",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1455",10751,12,16,NA,NA,NA,NA,NA,NA,NA,NA
"1456",28,18,878,53,NA,NA,NA,NA,NA,NA,NA
"1457",28,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1458",28,12,35,80,NA,NA,NA,NA,NA,NA,NA
"1459",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1460",12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1461",28,12,35,10769,NA,NA,NA,NA,NA,NA,NA
"1462",10770,27,9648,14,NA,NA,NA,NA,NA,NA,NA
"1463",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1464",53,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1465",53,18,9648,NA,NA,NA,NA,NA,NA,NA,NA
"1466",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1467",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1469",10752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472",10751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1473",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1474",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1475",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476",28,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477",28,12,27,53,NA,NA,NA,NA,NA,NA,NA
"1478",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1481",18,10751,10402,10749,NA,NA,NA,NA,NA,NA,NA
"1482",27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1483",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1484",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1485",9648,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"1486",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1487",27,9648,878,53,NA,NA,NA,NA,NA,NA,NA
"1488",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1489",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1490",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1491",10749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1492",27,28,53,878,NA,NA,NA,NA,NA,NA,NA
"1493",28,12,18,53,NA,NA,NA,NA,NA,NA,NA
"1494",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1495",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1496",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1497",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1498",12,28,35,37,53,NA,NA,NA,NA,NA,NA
"1499",18,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1501",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"1502",27,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"1503",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1504",28,12,35,10751,NA,NA,NA,NA,NA,NA,NA
"1505",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1506",16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1507",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1508",28,80,18,53,NA,NA,NA,NA,NA,NA,NA
"1509",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1511",99,36,10752,NA,NA,NA,NA,NA,NA,NA,NA
"1512",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1513",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1514",28,12,878,53,10770,NA,NA,NA,NA,NA,NA
"1515",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1516",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1517",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1518",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1519",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520",53,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1521",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1522",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1523",28,80,10769,53,NA,NA,NA,NA,NA,NA,NA
"1524",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1525",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1526",12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1527",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"1528",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1529",16,12,35,10751,14,NA,NA,NA,NA,NA,NA
"1530",12,14,878,NA,NA,NA,NA,NA,NA,NA,NA
"1531",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1532",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1534",28,27,878,NA,NA,NA,NA,NA,NA,NA,NA
"1535",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1536",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1538",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1539",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1540",27,53,9648,NA,NA,NA,NA,NA,NA,NA,NA
"1541",878,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1542",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1543",10770,18,14,NA,NA,NA,NA,NA,NA,NA,NA
"1544",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1545",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1546",28,27,878,53,NA,NA,NA,NA,NA,NA,NA
"1547",28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1549",28,12,16,10751,9648,NA,NA,NA,NA,NA,NA
"1550",12,18,28,53,10769,NA,NA,NA,NA,NA,NA
"1551",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1552",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"1553",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1554",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1555",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1556",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1557",10749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1558",12,18,28,NA,NA,NA,NA,NA,NA,NA,NA
"1559",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1560",16,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1561",27,878,53,NA,NA,NA,NA,NA,NA,NA,NA
"1562",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1563",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1564",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1565",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1566",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1567",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1568",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1569",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1570",18,28,36,37,10749,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1573",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1574",35,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575",28,12,35,18,NA,NA,NA,NA,NA,NA,NA
"1576",10752,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"1577",18,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1579",35,18,10751,14,10769,10749,NA,NA,NA,NA,NA
"1580",53,28,18,NA,NA,NA,NA,NA,NA,NA,NA
"1581",80,27,9648,NA,NA,NA,NA,NA,NA,NA,NA
"1582",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1583",10751,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1584",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1585",18,14,9648,878,53,NA,NA,NA,NA,NA,NA
"1586",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"1587",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1588",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"1589",18,53,10769,NA,NA,NA,NA,NA,NA,NA,NA
"1590",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1592",18,28,37,53,NA,NA,NA,NA,NA,NA,NA
"1593",80,16,28,NA,NA,NA,NA,NA,NA,NA,NA
"1594",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1595",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1596",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"1597",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1598",10402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1599",12,27,28,53,10769,NA,NA,NA,NA,NA,NA
"1600",18,10749,10769,NA,NA,NA,NA,NA,NA,NA,NA
"1601",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1602",10751,16,35,NA,NA,NA,NA,NA,NA,NA,NA
"1603",35,18,10751,NA,NA,NA,NA,NA,NA,NA,NA
"1604",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1605",28,16,12,18,NA,NA,NA,NA,NA,NA,NA
"1606",18,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1607",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1608",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1609",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1610",10769,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1611",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1612",18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1613",53,27,80,NA,NA,NA,NA,NA,NA,NA,NA
"1614",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1615",28,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"1616",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1617",18,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1618",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1619",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1621",28,16,14,878,NA,NA,NA,NA,NA,NA,NA
"1622",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1623",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1624",18,10769,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1625",28,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1626",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1627",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1628",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1629",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1631",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1632",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"1633",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1634",80,16,28,NA,NA,NA,NA,NA,NA,NA,NA
"1635",10751,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1636",9648,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"1637",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1638",10751,14,878,10770,NA,NA,NA,NA,NA,NA,NA
"1639",28,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"1640",28,53,878,NA,NA,NA,NA,NA,NA,NA,NA
"1641",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642",35,18,14,NA,NA,NA,NA,NA,NA,NA,NA
"1643",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1646",53,27,9648,NA,NA,NA,NA,NA,NA,NA,NA
"1647",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1648",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1649",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1650",18,10402,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1651",12,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1652",28,18,10751,27,53,NA,NA,NA,NA,NA,NA
"1653",99,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654",28,27,53,878,NA,NA,NA,NA,NA,NA,NA
"1655",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1656",28,53,80,878,NA,NA,NA,NA,NA,NA,NA
"1657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1659",16,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"1660",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1661",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1662",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1663",28,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"1664",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"1665",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1666",12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1667",16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1668",10749,18,35,NA,NA,NA,NA,NA,NA,NA,NA
"1669",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1671",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1673",10402,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"1674",9648,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1675",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1676",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1679",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1680",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1681",36,28,18,NA,NA,NA,NA,NA,NA,NA,NA
"1682",14,16,10751,NA,NA,NA,NA,NA,NA,NA,NA
"1683",9648,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1684",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1685",18,35,53,NA,NA,NA,NA,NA,NA,NA,NA
"1686",18,35,10769,NA,NA,NA,NA,NA,NA,NA,NA
"1687",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1688",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1689",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1690",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1691",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1692",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1693",99,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1694",10770,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1695",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1696",28,12,35,NA,NA,NA,NA,NA,NA,NA,NA
"1697",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1698",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"1699",18,10749,10769,NA,NA,NA,NA,NA,NA,NA,NA
"1700",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1702",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703",28,80,18,9648,53,NA,NA,NA,NA,NA,NA
"1704",14,18,35,878,10749,10751,10769,NA,NA,NA,NA
"1705",28,12,27,53,NA,NA,NA,NA,NA,NA,NA
"1706",18,14,27,NA,NA,NA,NA,NA,NA,NA,NA
"1707",28,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1708",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1709",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1711",53,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1712",16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1713",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1714",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1715",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1716",99,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1717",28,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1718",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1719",16,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1720",12,18,28,53,NA,NA,NA,NA,NA,NA,NA
"1721",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1722",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1723",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1725",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1726",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1727",36,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1728",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1729",28,80,53,NA,NA,NA,NA,NA,NA,NA,NA
"1730",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1731",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1732",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1733",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734",80,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1735",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1737",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1738",28,53,80,18,NA,NA,NA,NA,NA,NA,NA
"1739",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741",28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1742",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1744",18,28,53,80,9648,10749,NA,NA,NA,NA,NA
"1745",18,28,53,80,NA,NA,NA,NA,NA,NA,NA
"1746",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"1747",18,14,878,NA,NA,NA,NA,NA,NA,NA,NA
"1748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1749",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1750",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1751",10749,10751,35,NA,NA,NA,NA,NA,NA,NA,NA
"1752",878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1753",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1754",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1755",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1756",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1758",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1759",18,28,35,53,10749,NA,NA,NA,NA,NA,NA
"1760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1761",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1762",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1763",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1764",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1765",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1766",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1767",16,10751,35,NA,NA,NA,NA,NA,NA,NA,NA
"1768",80,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1769",28,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1770",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1771",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1772",12,27,18,NA,NA,NA,NA,NA,NA,NA,NA
"1773",18,14,27,NA,NA,NA,NA,NA,NA,NA,NA
"1774",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1776",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1777",35,99,18,36,NA,NA,NA,NA,NA,NA,NA
"1778",10770,35,10749,10751,NA,NA,NA,NA,NA,NA,NA
"1779",10770,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1780",18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1781",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1782",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1783",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1784",10402,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1785",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1788",9648,12,10751,NA,NA,NA,NA,NA,NA,NA,NA
"1789",28,12,35,10751,NA,NA,NA,NA,NA,NA,NA
"1790",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1791",18,10769,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1792",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1793",12,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1794",16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1795",99,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1796",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1797",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1798",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1799",10770,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1800",99,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1803",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1804",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1805",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1806",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1807",16,12,10751,NA,NA,NA,NA,NA,NA,NA,NA
"1808",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1809",28,12,10751,NA,NA,NA,NA,NA,NA,NA,NA
"1810",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1811",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1812",80,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1814",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1815",35,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1816",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1817",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1818",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1819",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1820",27,878,53,NA,NA,NA,NA,NA,NA,NA,NA
"1821",27,878,28,NA,NA,NA,NA,NA,NA,NA,NA
"1822",80,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"1823",28,12,16,14,NA,NA,NA,NA,NA,NA,NA
"1824",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"1825",10751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1826",10770,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"1827",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1828",53,18,80,10749,NA,NA,NA,NA,NA,NA,NA
