"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"95",28,35,80,9648,10751,NA,NA,NA,NA,NA,NA
"96",35,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",18,53,80,9648,NA,NA,NA,NA,NA,NA,NA
"99",14,12,16,35,10751,NA,NA,NA,NA,NA,NA
"100",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"101",35,10751,10749,NA,NA,NA,NA,NA,NA,NA,NA
"102",35,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"103",18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",27,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"108",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",35,18,10751,14,10749,NA,NA,NA,NA,NA,NA
"111",18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",28,35,80,53,NA,NA,NA,NA,NA,NA,NA
"113",18,53,14,9648,NA,NA,NA,NA,NA,NA,NA
"114",14,28,27,NA,NA,NA,NA,NA,NA,NA,NA
"115",35,18,14,10749,NA,NA,NA,NA,NA,NA,NA
"116",27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",9648,53,27,NA,NA,NA,NA,NA,NA,NA,NA
"120",10752,18,36,NA,NA,NA,NA,NA,NA,NA,NA
"121",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"122",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",16,18,10751,NA,NA,NA,NA,NA,NA,NA,NA
"124",14,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"125",35,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",35,18,10749,53,NA,NA,NA,NA,NA,NA,NA
"129",18,28,35,53,80,NA,NA,NA,NA,NA,NA
"130",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",14,10749,10751,35,NA,NA,NA,NA,NA,NA,NA
"132",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",12,16,35,10751,NA,NA,NA,NA,NA,NA,NA
"134",35,10751,12,NA,NA,NA,NA,NA,NA,NA,NA
"135",10751,16,35,12,NA,NA,NA,NA,NA,NA,NA
"136",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",35,16,10751,NA,NA,NA,NA,NA,NA,NA,NA
"138",28,12,18,10752,NA,NA,NA,NA,NA,NA,NA
"139",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"140",18,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",18,53,36,NA,NA,NA,NA,NA,NA,NA,NA
"144",18,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"145",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"147",37,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",53,28,12,18,NA,NA,NA,NA,NA,NA,NA
"149",35,10751,878,NA,NA,NA,NA,NA,NA,NA,NA
"150",10749,18,35,NA,NA,NA,NA,NA,NA,NA,NA
"151",16,35,10751,NA,NA,NA,NA,NA,NA,NA,NA
"152",35,14,10749,NA,NA,NA,NA,NA,NA,NA,NA
"153",18,36,10752,NA,NA,NA,NA,NA,NA,NA,NA
"154",16,35,10751,NA,NA,NA,NA,NA,NA,NA,NA
"155",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",28,12,27,878,53,NA,NA,NA,NA,NA,NA
"158",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",18,878,53,NA,NA,NA,NA,NA,NA,NA,NA
"160",10749,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",35,18,10751,10749,NA,NA,NA,NA,NA,NA,NA
"162",28,12,35,18,878,53,NA,NA,NA,NA,NA
"163",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",18,28,35,NA,NA,NA,NA,NA,NA,NA,NA
"165",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"167",28,12,18,53,NA,NA,NA,NA,NA,NA,NA
"168",18,9648,10749,NA,NA,NA,NA,NA,NA,NA,NA
"169",27,18,878,NA,NA,NA,NA,NA,NA,NA,NA
"170",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"171",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"172",12,28,10751,NA,NA,NA,NA,NA,NA,NA,NA
"173",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",12,16,10751,NA,NA,NA,NA,NA,NA,NA,NA
"175",80,28,12,35,NA,NA,NA,NA,NA,NA,NA
"176",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",99,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",28,35,99,NA,NA,NA,NA,NA,NA,NA,NA
"179",28,18,14,NA,NA,NA,NA,NA,NA,NA,NA
"180",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",18,53,10752,NA,NA,NA,NA,NA,NA,NA,NA
"182",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",18,35,10402,NA,NA,NA,NA,NA,NA,NA,NA
"184",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",35,18,10751,10770,NA,NA,NA,NA,NA,NA,NA
"189",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",12,28,18,53,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",18,36,10752,NA,NA,NA,NA,NA,NA,NA,NA
"196",35,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"197",35,18,14,10749,NA,NA,NA,NA,NA,NA,NA
"198",18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",27,28,53,878,NA,NA,NA,NA,NA,NA,NA
"201",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"202",18,53,12,878,NA,NA,NA,NA,NA,NA,NA
"203",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",14,18,28,36,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",35,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",28,12,80,18,NA,NA,NA,NA,NA,NA,NA
"209",28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",28,12,16,35,18,10751,NA,NA,NA,NA,NA
"211",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",18,10751,10749,NA,NA,NA,NA,NA,NA,NA,NA
"215",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"219",35,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"220",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",18,28,53,80,NA,NA,NA,NA,NA,NA,NA
"223",16,35,10751,NA,NA,NA,NA,NA,NA,NA,NA
"224",18,28,35,NA,NA,NA,NA,NA,NA,NA,NA
"225",35,10751,12,NA,NA,NA,NA,NA,NA,NA,NA
"226",28,12,80,53,NA,NA,NA,NA,NA,NA,NA
"227",28,12,18,14,10751,NA,NA,NA,NA,NA,NA
"228",12,18,10752,NA,NA,NA,NA,NA,NA,NA,NA
"229",36,18,28,NA,NA,NA,NA,NA,NA,NA,NA
"230",18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",35,10749,12,NA,NA,NA,NA,NA,NA,NA,NA
"233",14,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"234",12,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"235",16,18,878,9648,NA,NA,NA,NA,NA,NA,NA
"236",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"237",18,53,80,9648,NA,NA,NA,NA,NA,NA,NA
"238",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",18,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"240",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",16,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
