"","title","movie_id","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","TV Movie","War","Western"
"8620","Pasolini",8620,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"8621","Big Driver",8621,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"8622","Deadly Attraction",8622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8623","Swelter",8623,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8624","Lupin the Third: Daisuke Jigen's Gravestone",8624,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8625","TEKKEN: Kazuya's Revenge",8625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8626","A Wife's Secret",8626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8627","Diplomacy",8627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8628","Stromberg - Der Film",8628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8629","Innocence",8629,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
"8630","The Great Bikini Bowling Bash",8630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8631","Çakallarla Dans 3: Sıfır Sıkıntı",8631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8632","An Eye for Beauty",8632,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8633","V/H/S: Viral",8633,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"8634","Road to Paloma",8634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8635","Heavenly Sword",8635,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8636","Dinosaur Island",8636,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"8637","Breathe",8637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8638","Coconut The Little Dragon",8638,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8639","Postman Pat: The Movie",8639,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8640","Preggoland",8640,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8641","Seven Lucky Gods",8641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8642","Someone You Love",8642,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8643","Gett: The Trial of Viviane Amsalem",8643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8644","Golden Chickensss",8644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8645","The Third One",8645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8646","Beyond Beyond",8646,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8647","Space Dogs 2",8647,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8648","The Target",8648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8649","I Am Here",8649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8650","Red Sky",8650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8651","SlugTerra: Return of the Elementals",8651,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8652","The Anomaly",8652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
