,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,release_year,release_decade
1203,3,False,/k1i7uFfibPBJyZC0TJYpHZXptE7.jpg,"[878, 28, 12]",92426,en,Land of Doom,"Earth has been ravaged by a nuclear war, and a feminist warrior is forced to join up with a soldier of fortune in her journey to find a rumored ""paradise"" as they battle gangs of rampaging bandits.",1.227922,/vomIZWIiIlzyNlUv3duAl7XfwFk.jpg,1986-01-01,Land of Doom,False,2.0,1,1986,1980
1204,4,False,/8Jr3Z99n6MKxpQdUtaeF16AyF92.jpg,"[28, 878]",67221,it,Vendetta dal futuro,A story about a cyborg who is programmed to kill a scientist who holds the fate of mankind in his hands.,1.227385,/ejwl0vQQJ1WFh7ek4CSubscGXMV.jpg,1986-03-26,Hands of Steel,False,4.8,14,1986,1980
1205,5,False,/h43dv6s2AmwbvecphIeaSGUYEP8.jpg,"[27, 878, 53]",24194,en,TerrorVision,"A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world.",1.218334,/irFJrRiVVatkl8gk8dDuJHXK5Rk.jpg,1986-02-14,TerrorVision,False,5.8,36,1986,1980
1206,6,False,/dfry3mIkdQJIz8alMncEZDSY5qX.jpg,"[28, 10751, 14, 878]",22976,en,Biggles,"Unassuming catering salesmen Jim Ferguson falls through a time hole to 1917 where he saves the life of dashing Royal Flying Corps pilot James ""Biggles"" Bigglesworth after his photo recon mission is shot down. Before he can work out what has happened, Jim is zapped back to the 1980s......",1.199577,/86xzclnxQn6BnyQrquwvug9m18p.jpg,1986-05-30,Biggles,False,5.0,15,1986,1980
1207,7,False,/mROp0NfaZNYnrSo6wvmzYF9RCTo.jpg,"[878, 53]",30194,en,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",1.194906,/AwtI7WEFGpj2AH4KIMrLT9yOVoZ.jpg,1986-06-13,The Manhattan Project,False,6.1,24,1986,1980
1208,8,False,/tVBXhMYiv6JwrSNKvnASvVi91v9.jpg,"[28, 18, 27, 878, 53]",47340,en,Dead End Drive-In,"In the near future, drive-in theatres are turned into concentration camps for the undesirable and unemployed. The prisoners don't really care to escape because they are fed and they have a place to live which is, in most cases, probably better than the outside. Crabs and his girlfriend Carmen are put into the camp and all Crabs wants to do is escape.",1.194596,/oFOocn7EXcdu2e2jmyXMNUMvOHX.jpg,1986-08-13,Dead End Drive-In,False,6.2,20,1986,1980
1209,9,False,/736aWFGVxc4n8pcWjMGWdpfHOHv.jpg,"[27, 878]",28941,en,Chopping Mall,"A group of teenagers that work at the mall all get together for a late night party in one of the stores. When the mall goes on lock down before they can get out, the robot security system activates after a malfunction and goes on a killing spree. One by one the three bots try to rid the mall of the ""intruders"". The only weapons the kids can use are the supplies in other stores, or if they can make it till morning when the mall opens back up.",1.187731,/iRiRrCtR3c4vU03QsVZKOwNhNTZ.jpg,1986-03-21,Chopping Mall,False,5.6,49,1986,1980
1210,10,False,/1T6JHNcGyjeOBejmQdWYRXKTAHL.jpg,"[27, 35, 878]",26554,en,Class of Nuke 'Em High,The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.,1.168214,/mSwophQFXDaCjxRWhyZaP79Si4M.jpg,1986-12-12,Class of Nuke 'Em High,False,5.7,36,1986,1980
1211,11,False,/oXeWCHOklgBTm4Bm4b16GKMv2vy.jpg,"[27, 16, 28, 878]",76847,ja,強殖装甲ガイバー,"One night, high school student Sho Fukamachi discovers a mysterious metal object. Then in a blinding flash of light, Sho finds that he has accidentally fused with the Guyver, a mecha of mysterious alien design. Now, to save his girlfriend, Mizuki Segawa, along with the entire world, Sho must become the Guyver to fight the Chronos Corporation and their biocreatures, called Zoanoids, who are hell-bent on world domination.",1.16118,/5fKAFXhK9zS45F9gqz4zLl3ECmZ.jpg,1986-12-13,Guyver: Out of Control,False,5.8,2,1986,1980
1212,12,False,/ray4UhtGRylCcDU15LxO3XOiavl.jpg,"[878, 28, 16]",71444,ja,装鬼兵MDガイスト,"Geist (the main character) is MD-02, a Most Dangerous Soldier, genetically engineered to function as a killing machine, but every one of the MDS units went homicidally insane. As a result Geist was placed in suspended animation in a stasis pod orbiting the planet Jerra until it crashed several years later, awakening him and bringing him into another war on the planet.",1.142009,/l0FyuJB44dnpPHmXBH3BKMFII2n.jpg,1986-08-13,M.D. Geist,False,3.8,2,1986,1980
