,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
19,False,/coJiqVSDUNVBiFtHLOnrCExS3TR.jpg,"[878, 27]",37579,en,Body of the Prey,A mad scientist creates man eating creatures from carnivorous plants.,1.000003,/yYCCr5x0jf2sgKgUbr7XdvgJvFw.jpg,1970-01-01,Body of the Prey,False,1.5,3
0,False,/unMc1jEyqCnzba976GviSFKGagt.jpg,"[878, 18]",185,en,A Clockwork Orange,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",3.56471,/hJYwfHxh9O7lyF7hTIT7ZoP8FYQ.jpg,1971-12-18,A Clockwork Orange,False,7.8,2410
1,False,/gIGLXXvsljHK1jdDNaIXsjhZnnH.jpg,"[12, 28, 53, 878]",681,en,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,2.991175,/viPjZ3JCOahcfNCcVhiPExusJoZ.jpg,1971-12-13,Diamonds Are Forever,False,6.2,459
2,False,/dtPe0y1F4XtpEEOwTpaZXXxXfNU.jpg,"[28, 878, 53]",11234,en,The Omega Man,"Robert Neville, a doctor, due to an experimental vaccine, is the only survivor of an apocalyptic war waged with biological weapons. The plague caused by the war has killed everyone else except for a few hundred deformed, nocturnal people calling themselves ""The Family"". The plague has caused them to become sensitive to light, as well as homicidally psychotic.",2.319998,/kHd0BZtBfOTph7YUggtDF6EoQ9W.jpg,1971-08-01,The Omega Man,False,5.9,118
3,False,/oKOVIY9W2d5VMKDN1YAAznZ58Bj.jpg,"[18, 9648, 878, 53]",636,en,THX 1138,People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.,2.093061,/8cie5mojY6MlIrYMs9EtNSyterv.jpg,1971-03-11,THX 1138,False,6.3,214
4,False,/4eOe0Wdm8ImGmIoitzaI5N7yvNZ.jpg,"[878, 53]",10514,en,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",1.935171,/nGI6h63HtxB0SbvaNXc5WcrRycq.jpg,1971-03-12,The Andromeda Strain,False,6.8,153
5,False,/xE99ZdJKTc3y5vsBbrzvTsGPyeh.jpg,"[28, 878]",1687,en,Escape from the Planet of the Apes,"The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",1.417129,/yOnN43HdxvV5h5U4qsGIfeUL0Zv.jpg,1971-05-20,Escape from the Planet of the Apes,False,6.2,191
6,False,/5IT5vHJwGAXaqGWFGMeyKiXJMFT.jpg,"[18, 878]",121923,en,Brother John,"A mysterious man John Kane (Sidney Poitier) who, when he returns to his hometown in Alabama for his sister's funeral, is thought to be an outside labor agitator - until it's revealed that he's really a heavenly messenger. The plot revolves around a strike at the town's big factory.",1.148193,/eht5kVdRKhyEn0GB3VH2PlLTXN4.jpg,1971-08-15,Brother John,False,5.7,3
7,False,/uL5nIHx4TtBrkuVAaU1nozYPGBD.jpg,"[27, 878]",3122,it,La figlia di Frankenstein,"Dr. Frankensteins' daughter, who is in love with the aging lab assistant Marshall, continues with her fathers experiments and attempts to transplant Marshall's brain into a new body to prolong his life.",1.127533,/7RUwqMnjZvoLbL63ZL2FGv7qAi8.jpg,1971-10-22,Lady Frankenstein,False,4.3,9
8,False,/dD7KWrsuChQfz5JY4YFEu6iWFpE.jpg,"[878, 18, 27]",39464,ja,Gojira tai Hedora,"Psychedelic animation and a flying Godzilla highlight the 11th Godzilla film.  Spawned from earth's pollution, Hedorah destroys Japan, spews poison gas and fights Godzilla.",1.094129,/owsC23o8JV2JvP6cY1Igxp2WCKP.jpg,1971-07-24,Godzilla vs. Hedorah,False,6.4,23
9,False,/bVB80PF0l49kSTI6hsWu9sJK6pQ.jpg,"[878, 27]",52941,en,"I, Monster","Christopher Lee stars in this Amicus production of “Dr. Jekyll &amp; Mr. Hyde” where the names have been changed to Dr. Marlowe and Mr. Blake. Lee as Dr. Marlowe experiments with intravenous drugs that are suppose to release inner inhibitions. So comes forth Mr. Blake (also Lee) who gets more monstrous with each transformation. Peter Cushing plays his friend and colleague, Dr. Utterson.",1.079062,/SXWoCiQx0W1RyjPnlNtbBYnj8R.jpg,1971-11-01,"I, Monster",False,5.1,5
10,False,/izYkndfN3vZgs9E2dM8ywMZFqTb.jpg,"[27, 878]",86193,en,The Incredible 2-Headed Transplant,"Dr. Roger Girard is a rich scientist conducting experiments on head transplantation. His caretaker has a son, Danny, who, although fully grown, has the mind of child. One day an escaped psycho-killer invades Girard's home, killing Danny's father before being gunned down himself. With the maniac dying and Danny deeply unsettled by his father's death, Dr. Girard decides to take the final step and transplant the killer's head onto Danny's body.",1.074435,/n11kgWxRiByD0sx1uRK03ntTcNq.jpg,1971-04-28,The Incredible 2-Headed Transplant,False,4.0,10
11,False,/cD22XENf55BRCCRuJ77YV6esht2.jpg,"[18, 878]",53898,en,A Safe Place,"A young woman named Noah lives alone in New York. She is a disturbed flower child, who retreats into her past, yearning for lost innocence. She recalls her childhood, searching for a ""safe place."" As a child she met a magician in Central Park who presented her with magical objects: a levitating silver ball, a star ring, and a Noah's ark. She is romantically involved with two totally different men. Fred is practical but dull. Mitch is dynamic and sexy, her ideal fantasy partner. Neither man is able to totally fulfill her needs.",1.065367,/y5c7qyYNTOcFp3f86JsYZVFjVry.jpg,1971-10-01,A Safe Place,False,6.3,4
